round_number,driver,team,engine_supplier,season_avg_finish_pos,season_avg_quali_pos,last3_avg_finish,last3_avg_quali,season_points,championship_position,team_championship_position,team_points,team_avg_finish_pos,team_avg_quali_pos,track_avg_finish_pos,track_avg_quali_pos,track_wins,track_podiums,driver_mechanical_dnf_rate,team_mechanical_dnfs_this_season,engine_manufacturer_mechanical_dnfs_this_season,fp1_gap_to_fastest,fp2_gap_to_fastest,fp3_gap_to_fastest,race_or_sprint,sprint_quali_gap,sprint_finish_pos,quali_gap_to_pole,race_winner
6,3,4,3,7.6,9.4,5.333333333,6.333333333,37,7,4,51,10.5,9.6,4.13,6.91,2,3,1,4,5,0.513,0.168,0.942,0,0,0,0.043,0
6,6,4,3,13.4,9.8,13,12.33333333,14,11,4,51,10.5,9.6,5,5,0,0,2,4,5,2.17,1.061,1.157,0,0,0,0.383,0
7,63,1,1,7,2.833333333,11.66666667,4,88,3,1,244,4.083333333,2.083333333,8,9.63,0,1,1,1,10,0,0.009,0,0,0,0,0,0
7,12,1,1,1.166666667,1.333333333,1,1.333333333,156,1,1,244,4.083333333,2.083333333,17,4.5,0,0,0,1,10,0.05,0.589,0.821,0,0,0,0.319,0
7,16,2,2,6.5,4.5,9.666666667,5,75,4,2,165,5.166666667,4.75,7.57,8.22,0,1,1,1,3,0.52,0.373,0.243,0,0,0,26.32,0
7,44,2,2,3.833333333,5,3.333333333,4.666666667,90,2,2,165,5.166666667,4.75,3.95,4.25,7,12,0,1,3,0.52,1.205,0.702,0,0,0,0.064,1
7,1,3,1,11.5,5.333333333,13,5,58,5,3,111,10.83333333,5.25,7.14,6,0,3,3,5,10,0.183,0,0.246,0,0,0,0.322,0
7,81,3,1,10.16666667,5.166666667,6.333333333,6,53,6,3,111,10.83333333,5.25,6.5,6.5,1,1,2,5,10,0.203,0.057,0.214,0,0,0,0.411,0
7,3,4,3,10,8.166666667,10,3.333333333,37,7,4,63,10.91666667,8.583333333,3.55,3.5,4,8,2,4,6,0.684,0.895,0.755,0,0,0,0.342,0
7,6,4,3,11.83333333,9,10.33333333,11.33333333,26,10,4,63,10.91666667,8.583333333,6.5,7.5,0,0,2,4,6,0.784,1.248,1.005,0,0,0,0.398,0
